Sample	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	Variance
0	-0.0005545230938369198	-1.2961779282742696	-0.013251379226438431	-0.0011396453681148779	0.0	-0.0001984738757528367	0.0	0.0	0.0	-0.011670247774835843	0.0	-0.14882529960791085	-0.011940074590789999	-0.010404744733500124	-0.0011442719731352743	-0.05857513068327443	0.0	-0.00034645474535276985	-0.0006440634020372215	-0.2726556089519096	0.4992019501140006
1	-8.37209366167204e-06	-0.5141729150607414	0.0007256130437024243	0.0030566719398151566	0.0	0.00012749247916782528	0.0	0.0	0.0	-0.0014753854835102655	0.0	0.04394699079852922	-0.0003961484642668092	-0.0031014279821496445	-0.0009384431049986923	0.006768427321618516	0.0	0.0014277017567471035	0.0007209517552156025	0.0036653409995471113	0.29440050626091585
2	-0.0005410459105888695	0.00470726630329136	-0.01048385461513564	0.0005727115798594148	0.0	-0.00013443658417184443	0.0	0.0	0.0	-0.006195414141446081	0.0	0.0022928262710618205	0.0038915086723220905	0.0026732153440916524	-0.0011485010813984539	0.029171690942855922	0.0	-0.0008912262918248006	-0.00020998013871386133	-0.08367384172143608	0.1296943461861294
3	-0.00010204626107982289	-0.001950899594997113	7.365837633295927e-05	-5.494151320596695e-05	0.0	0.00017683916266897763	0.0	0.0	0.0	0.002001905423797716	0.0	-0.0007091217386298472	-0.0036293356236406747	-0.0022545175272866997	0.00010662910447319886	-0.04125750736296984	0.0	-0.00036894771988919584	-0.0007866886265060077	-0.010283968902346036	0.02906269344287807
4	-0.00033270069446249154	0.0014020919873871662	-0.005480211812264646	-0.0020232789094903766	0.0	0.00011875576213849314	0.0	0.0	0.0	-0.006550722281098212	0.0	-0.02449105292129963	-0.005641638729968254	-0.000920587387993249	-0.000917818626535199	0.04492865982912685	0.0	-0.001832466480056592	-0.0007776090503888213	-0.08558890486712155	0.01933689838289299
5	-0.00012415982043486066	0.304523588677587	-0.0008519378375858854	-0.0021575109967802335	0.0	-1.6486995539248245e-05	0.0	0.0	0.0	-0.0004762674015072621	0.0	0.004536429356593918	0.0034429551257734773	0.008644946482451267	-0.0007199433967959796	0.07702865287487107	0.0	-0.0014745244626381685	-0.0007235106835815171	-0.018928529291212855	0.018318111072716005
6	0.000131615583531511	0.06334147693181057	0.001747015093296205	-0.001472421416173218	0.0	0.00022499732263806237	0.0	0.0	0.0	0.0011002081146449896	0.0	0.02602643778229666	0.00021024778474547958	-0.001379625200154356	0.00010027799426572761	-0.010052714219334841	0.0	9.313542386391693e-05	0.0003629875301283769	0.007324862117077215	0.004993989469788329
7	2.212454893826746e-06	0.060236362729068925	-0.005225458257958209	0.00022656427420951014	0.0	0.00011456965941736389	0.0	0.0	0.0	0.0032596762627937815	0.0	-0.025582467786839883	0.005947133897744174	-0.0008779848654526834	-0.00012917975661530138	-0.020650811191273363	0.0	-0.001717346805421937	-0.0017827050391855442	0.028910096053894756	0.002059623084967844
8	0.00026653772682230716	0.08904806932106611	0.0008325121001396055	1.1111218691412667e-05	0.0	-6.3015140209555e-05	0.0	0.0	0.0	-0.002692899088556203	0.0	0.03199835370856446	-0.008518975327627295	0.009195091153327771	6.578144225522693e-05	0.011346070948251914	0.0	-0.0015456704854478283	0.0021781328244084137	-0.007230869093567685	0.0008945461616552569
9	-0.00018932973519953235	0.01681792197520419	-0.0036204030026037288	-0.0008946871884747805	0.0	-9.247777670014581e-05	0.0	0.0	0.0	-0.00016166351260879738	0.0	0.01428133853356889	0.0018636589093409717	-0.0010926537661556498	-0.0012523587201463914	0.001199771255124951	0.0	-0.0008709913359640404	0.00018620462184264152	-0.026029404393418082	0.0007440109221832961
